"","class","cap_shape","cap_color","bruises","gill_spacing","gill_color","stalk_shape","veil_color","population","habitat"
"158","0","convex","white","bruises","close","black","enlarging","white","numerous","grasses"
"159","0","bell","white","bruises","close","brown","enlarging","white","scattered","meadows"
"160","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","grasses"
"161","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"162","0","bell","yellow","bruises","close","brown","enlarging","white","numerous","grasses"
"163","0","convex","brown","no bruises","close","black","enlarging","white","solitary","urban"
"164","0","flat","brown","bruises","close","brown","enlarging","white","solitary","grasses"
"165","0","convex","white","bruises","close","black","enlarging","white","scattered","grasses"
"166","0","flat","yellow","bruises","close","white","enlarging","white","solitary","paths"
"167","0","bell","white","bruises","close","white","enlarging","white","scattered","grasses"
"168","0","bell","white","bruises","close","white","enlarging","white","scattered","meadows"
"169","0","convex","brown","bruises","close","white","enlarging","white","solitary","grasses"
"170","0","bell","white","bruises","close","black","enlarging","white","scattered","grasses"
"171","0","convex","grey","no bruises","close","grey","enlarging","white","solitary","urban"
"172","0","bell","yellow","bruises","close","black","enlarging","white","scattered","grasses"
"173","0","convex","yellow","bruises","crowded","brown","tapering","white","several","wood"
"174","0","bell","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"175","0","flat","yellow","bruises","close","pink","enlarging","white","scattered","grasses"
"176","0","bell","white","bruises","close","white","enlarging","white","numerous","meadows"
"177","0","bell","white","bruises","close","black","enlarging","white","numerous","meadows"
"178","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","grasses"
"179","0","convex","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"180","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","grasses"
"181","1","convex","white","bruises","close","pink","enlarging","white","several","urban"
"182","0","sunken","brown","no bruises","close","grey","enlarging","white","solitary","urban"
"183","0","flat","brown","no bruises","close","grey","enlarging","white","several","urban"
"184","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"185","0","flat","brown","bruises","close","pink","enlarging","white","scattered","paths"
"186","1","convex","white","bruises","close","black","enlarging","white","scattered","grasses"
"187","0","bell","white","bruises","close","grey","enlarging","white","scattered","meadows"
"188","0","flat","grey","no bruises","close","pink","enlarging","white","several","urban"
"189","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","grasses"
"190","0","convex","brown","bruises","close","white","enlarging","white","solitary","paths"
"191","0","convex","white","no bruises","crowded","pink","tapering","white","scattered","grasses"
"192","0","convex","white","bruises","crowded","white","tapering","white","several","wood"
"193","0","bell","white","bruises","close","white","enlarging","white","scattered","meadows"
"194","0","flat","yellow","bruises","crowded","white","tapering","white","several","wood"
"195","0","convex","yellow","bruises","close","black","enlarging","white","numerous","meadows"
"196","0","flat","grey","no bruises","close","grey","enlarging","white","solitary","urban"
"197","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"198","0","convex","white","bruises","close","grey","enlarging","white","numerous","meadows"
"199","0","convex","white","bruises","close","brown","enlarging","white","scattered","meadows"
"200","0","flat","white","bruises","crowded","brown","tapering","white","several","wood"
"201","0","convex","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"202","0","bell","white","bruises","close","white","enlarging","white","scattered","grasses"
"203","0","convex","white","bruises","close","grey","enlarging","white","numerous","grasses"
"204","0","convex","white","no bruises","crowded","chocolate","tapering","white","scattered","grasses"
"205","0","flat","brown","bruises","close","brown","enlarging","white","solitary","paths"
"206","1","convex","white","bruises","close","black","enlarging","white","several","urban"
"207","0","bell","white","bruises","close","brown","enlarging","white","numerous","grasses"
"208","0","bell","white","bruises","close","black","enlarging","white","scattered","meadows"
"209","0","bell","white","bruises","close","brown","enlarging","white","numerous","grasses"
"210","0","bell","white","bruises","close","white","enlarging","white","numerous","grasses"
"211","0","convex","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"212","0","bell","white","bruises","close","white","enlarging","white","numerous","meadows"
"213","0","convex","yellow","bruises","crowded","brown","tapering","white","several","wood"
"214","0","convex","grey","no bruises","close","brown","enlarging","white","solitary","urban"
"215","0","flat","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"216","0","bell","white","bruises","close","brown","enlarging","white","numerous","meadows"
"217","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","grasses"
"218","0","convex","yellow","bruises","close","black","enlarging","white","scattered","grasses"
"219","0","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"220","0","sunken","grey","no bruises","close","pink","enlarging","white","several","urban"
"221","0","convex","white","bruises","close","brown","enlarging","white","numerous","meadows"
"222","1","convex","white","bruises","close","black","enlarging","white","scattered","grasses"
"223","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"224","0","flat","white","bruises","crowded","pink","tapering","white","several","wood"
"225","0","convex","white","bruises","close","grey","enlarging","white","numerous","meadows"
"226","0","bell","white","bruises","close","brown","enlarging","white","scattered","grasses"
"227","0","convex","white","bruises","close","grey","enlarging","white","numerous","grasses"
"228","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","grasses"
"229","1","convex","brown","bruises","close","pink","enlarging","white","several","urban"
"230","0","bell","yellow","bruises","close","brown","enlarging","white","numerous","grasses"
"231","0","convex","grey","no bruises","close","brown","enlarging","white","solitary","urban"
"232","1","convex","white","bruises","close","black","enlarging","white","scattered","urban"
"233","0","convex","yellow","bruises","close","brown","enlarging","white","solitary","paths"
"234","0","flat","brown","no bruises","close","black","enlarging","white","several","urban"
"235","0","bell","white","bruises","close","black","enlarging","white","numerous","grasses"
"236","0","convex","white","bruises","crowded","white","tapering","white","several","wood"
"237","0","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"238","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"239","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"240","0","flat","yellow","bruises","close","pink","enlarging","white","scattered","paths"
"241","0","flat","yellow","bruises","close","white","enlarging","white","solitary","paths"
"242","0","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"243","0","convex","white","bruises","close","white","enlarging","white","numerous","meadows"
"244","1","convex","white","bruises","close","brown","enlarging","white","several","urban"
"245","0","flat","white","bruises","crowded","pink","tapering","white","several","wood"
"246","0","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"247","0","convex","white","bruises","crowded","pink","tapering","white","several","wood"
"248","0","convex","white","bruises","close","brown","enlarging","white","scattered","meadows"
"249","0","flat","yellow","bruises","close","white","enlarging","white","solitary","paths"
"250","0","convex","brown","no bruises","crowded","pink","tapering","white","scattered","grasses"
"251","0","flat","yellow","bruises","close","white","enlarging","white","solitary","grasses"
"252","1","convex","brown","bruises","close","pink","enlarging","white","scattered","grasses"
"253","0","sunken","brown","no bruises","close","grey","enlarging","white","several","urban"
"254","0","bell","yellow","bruises","close","white","enlarging","white","scattered","meadows"
"255","0","bell","white","bruises","close","brown","enlarging","white","scattered","grasses"
"256","0","bell","white","bruises","close","black","enlarging","white","numerous","meadows"
"257","0","flat","brown","no bruises","close","black","enlarging","white","several","urban"
"258","0","convex","white","bruises","close","white","enlarging","white","numerous","meadows"
"259","0","bell","white","bruises","close","grey","enlarging","white","numerous","grasses"
"260","0","bell","white","bruises","close","grey","enlarging","white","numerous","meadows"
"261","0","flat","brown","bruises","close","white","enlarging","white","scattered","grasses"
"262","1","convex","white","bruises","close","black","enlarging","white","several","grasses"
"263","0","convex","white","bruises","close","brown","enlarging","white","numerous","grasses"
"264","0","convex","white","bruises","close","brown","enlarging","white","scattered","meadows"
"265","0","flat","white","bruises","crowded","white","tapering","white","several","wood"
"266","0","flat","grey","no bruises","close","grey","enlarging","white","several","urban"
"267","0","flat","grey","no bruises","crowded","pink","tapering","white","abundant","grasses"
"268","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"269","0","bell","white","bruises","close","black","enlarging","white","scattered","meadows"
"270","1","flat","brown","bruises","close","white","enlarging","white","scattered","urban"
"271","0","convex","white","bruises","close","brown","enlarging","white","numerous","meadows"
"272","1","flat","brown","bruises","close","white","enlarging","white","several","urban"
"273","0","convex","white","bruises","close","black","enlarging","white","scattered","grasses"
"274","0","convex","yellow","bruises","close","black","enlarging","white","numerous","meadows"
"275","0","flat","yellow","bruises","close","brown","enlarging","white","scattered","paths"
"276","0","convex","brown","bruises","close","white","enlarging","white","scattered","paths"
"277","0","flat","brown","bruises","close","white","enlarging","white","solitary","grasses"
"278","0","convex","white","bruises","close","white","enlarging","white","numerous","meadows"
"279","0","flat","brown","no bruises","crowded","chocolate","tapering","white","scattered","grasses"
"280","0","convex","yellow","bruises","close","black","enlarging","white","numerous","meadows"
"281","1","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"282","0","bell","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"283","0","sunken","brown","no bruises","close","pink","enlarging","white","several","urban"
"284","0","convex","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"285","0","bell","white","bruises","close","brown","enlarging","white","numerous","meadows"
"286","0","flat","brown","bruises","close","brown","enlarging","white","scattered","grasses"
"287","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"288","0","bell","white","bruises","close","grey","enlarging","white","scattered","grasses"
"289","0","convex","brown","bruises","close","brown","enlarging","white","solitary","paths"
"290","0","flat","grey","no bruises","close","pink","enlarging","white","solitary","urban"
"291","0","convex","grey","no bruises","close","grey","enlarging","white","solitary","urban"
"292","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"293","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","meadows"
"294","0","bell","white","bruises","close","black","enlarging","white","scattered","grasses"
"295","0","convex","white","bruises","close","grey","enlarging","white","scattered","meadows"
"296","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"297","0","convex","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"298","0","convex","grey","no bruises","crowded","pink","tapering","white","scattered","grasses"
"299","0","flat","yellow","bruises","crowded","pink","tapering","white","several","wood"
"300","1","convex","white","bruises","close","pink","enlarging","white","scattered","grasses"
"301","0","convex","white","no bruises","crowded","black","tapering","white","abundant","grasses"
"302","0","bell","white","bruises","close","white","enlarging","white","scattered","grasses"
"303","0","convex","yellow","bruises","crowded","white","tapering","white","several","wood"
"304","0","bell","white","bruises","close","brown","enlarging","white","scattered","grasses"
"305","0","convex","white","bruises","close","grey","enlarging","white","scattered","grasses"
"306","0","convex","brown","bruises","close","pink","tapering","white","solitary","wood"
"307","0","bell","white","bruises","close","black","enlarging","white","scattered","meadows"
"308","0","convex","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"309","0","flat","brown","bruises","close","pink","enlarging","white","solitary","grasses"
"310","0","convex","white","no bruises","crowded","brown","tapering","white","scattered","grasses"
"311","0","convex","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"312","1","convex","white","bruises","close","brown","enlarging","white","several","grasses"
"313","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"314","0","convex","white","bruises","crowded","pink","tapering","white","several","wood"
"315","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","grasses"
"316","1","convex","white","bruises","close","black","enlarging","white","several","urban"
"317","0","convex","yellow","bruises","crowded","white","tapering","white","several","wood"
"318","0","convex","white","bruises","close","black","enlarging","white","numerous","meadows"
"319","0","convex","white","bruises","crowded","brown","tapering","white","several","wood"
"320","0","flat","white","bruises","crowded","white","tapering","white","several","wood"
"321","0","convex","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"322","0","flat","yellow","bruises","crowded","white","tapering","white","several","wood"
"323","0","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"324","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","meadows"
"325","0","convex","brown","bruises","close","pink","enlarging","white","scattered","paths"
"326","0","bell","white","bruises","close","black","enlarging","white","numerous","grasses"
"327","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","meadows"
"328","1","convex","brown","bruises","close","brown","enlarging","white","several","urban"
"329","0","bell","yellow","bruises","close","white","enlarging","white","numerous","grasses"
"330","0","bell","white","bruises","close","grey","enlarging","white","numerous","grasses"
"331","1","convex","brown","bruises","close","white","enlarging","white","several","urban"
"332","0","bell","white","bruises","close","brown","enlarging","white","scattered","meadows"
"333","0","bell","yellow","bruises","close","white","enlarging","white","numerous","meadows"
"334","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"335","0","convex","white","bruises","close","grey","enlarging","white","numerous","grasses"
"336","0","convex","brown","bruises","close","pink","tapering","white","solitary","wood"
"337","0","convex","brown","bruises","close","white","enlarging","white","solitary","grasses"
"338","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"339","0","convex","grey","no bruises","close","grey","enlarging","white","several","urban"
"340","0","convex","brown","bruises","close","brown","enlarging","white","solitary","grasses"
"341","0","convex","white","bruises","close","black","enlarging","white","scattered","grasses"
"342","0","bell","white","bruises","close","brown","enlarging","white","numerous","grasses"
"343","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"344","0","flat","yellow","bruises","crowded","pink","tapering","white","several","wood"
"345","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","grasses"
"346","0","convex","brown","no bruises","crowded","brown","tapering","white","abundant","grasses"
"347","0","convex","yellow","bruises","crowded","brown","tapering","white","several","wood"
"348","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"349","0","flat","grey","no bruises","crowded","brown","tapering","white","scattered","grasses"
"350","0","convex","brown","no bruises","close","grey","enlarging","white","solitary","urban"
"351","0","flat","grey","no bruises","crowded","chocolate","tapering","white","abundant","grasses"
"352","0","flat","brown","bruises","close","pink","enlarging","white","scattered","paths"
"353","0","bell","white","bruises","close","black","enlarging","white","scattered","grasses"
"354","0","bell","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"355","0","convex","yellow","bruises","close","white","enlarging","white","scattered","paths"
"356","0","sunken","grey","no bruises","close","grey","enlarging","white","several","urban"
"357","0","flat","brown","bruises","close","pink","enlarging","white","solitary","paths"
"358","1","convex","brown","bruises","close","black","enlarging","white","scattered","urban"
"359","0","convex","yellow","bruises","close","pink","enlarging","white","solitary","paths"
"360","0","convex","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"361","0","convex","brown","no bruises","crowded","chocolate","tapering","white","scattered","grasses"
"362","0","convex","brown","no bruises","crowded","pink","tapering","white","abundant","grasses"
"363","0","flat","brown","no bruises","crowded","black","tapering","white","abundant","grasses"
"364","0","flat","brown","bruises","close","brown","enlarging","white","scattered","paths"
"365","0","convex","yellow","bruises","close","white","enlarging","white","numerous","grasses"
"366","0","flat","brown","no bruises","close","pink","enlarging","white","several","urban"
"367","0","convex","yellow","bruises","close","white","enlarging","white","scattered","paths"
"368","0","convex","yellow","bruises","crowded","pink","tapering","white","several","wood"
"369","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","grasses"
"370","0","convex","grey","no bruises","crowded","brown","tapering","white","scattered","grasses"
"371","0","convex","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"372","0","flat","brown","bruises","close","brown","enlarging","white","solitary","grasses"
"373","0","convex","yellow","bruises","close","white","enlarging","white","scattered","meadows"
"374","0","sunken","brown","no bruises","close","brown","enlarging","white","solitary","urban"
"375","0","convex","white","bruises","close","black","enlarging","white","scattered","meadows"
"376","0","bell","white","bruises","close","brown","enlarging","white","numerous","grasses"
"377","0","sunken","brown","no bruises","close","black","enlarging","white","solitary","urban"
"378","0","bell","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"379","0","convex","yellow","bruises","close","black","enlarging","white","numerous","grasses"
"380","0","bell","yellow","bruises","close","black","enlarging","white","scattered","grasses"
"381","1","convex","brown","bruises","close","pink","enlarging","white","scattered","urban"
"382","0","convex","white","no bruises","crowded","black","tapering","white","scattered","grasses"
"383","0","convex","white","bruises","close","white","enlarging","white","scattered","meadows"
"384","0","bell","white","bruises","close","grey","enlarging","white","numerous","grasses"
"385","0","convex","brown","bruises","close","brown","tapering","white","solitary","wood"
"386","1","convex","brown","bruises","close","white","enlarging","white","scattered","urban"
"387","0","convex","brown","bruises","close","white","enlarging","white","solitary","paths"
"388","0","convex","brown","no bruises","crowded","brown","tapering","white","abundant","grasses"
"389","0","bell","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"390","0","convex","yellow","bruises","close","white","enlarging","white","numerous","meadows"
"391","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","meadows"
"392","0","convex","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"393","0","bell","white","bruises","close","brown","enlarging","white","numerous","grasses"
"394","0","convex","grey","no bruises","close","black","enlarging","white","several","urban"
